[Mon Aug 21 09:47:24.035387 2017] [:error] [pid 3249] [client 127.0.0.1:51746] PHP Fatal error:  Uncaught ErrorException: Undefined variable: user in /var/www/html/laravel/admin/app/Exceptions/Handler.php:51\nStack trace:\n#0 /var/www/html/laravel/admin/app/Exceptions/Handler.php(51): Illuminate\\Foundation\\Bootstrap\\HandleExceptions->handleError(8, 'Undefined varia...', '/var/www/html/l...', 51, Array)\n#1 /var/www/html/laravel/admin/vendor/laravel/framework/src/Illuminate/Foundation/Bootstrap/HandleExceptions.php(108): App\\Exceptions\\Handler->render(Object(Illuminate\\Http\\Request), Object(ErrorException))\n#2 /var/www/html/laravel/admin/vendor/laravel/framework/src/Illuminate/Foundation/Bootstrap/HandleExceptions.php(85): Illuminate\\Foundation\\Bootstrap\\HandleExceptions->renderHttpResponse(Object(ErrorException))\n#3 [internal function]: Illuminate\\Foundation\\Bootstrap\\HandleExceptions->handleException(Object(ErrorException))\n#4 {main}\n  thrown in /var/www/html/laravel/admin/app/Exceptions/Handler.php on line 51
[Mon Aug 21 09:47:24.238986 2017] [:error] [pid 3249] [client 127.0.0.1:51746] PHP Fatal error:  Uncaught ErrorException: Undefined variable: user in /var/www/html/laravel/admin/app/Exceptions/Handler.php:51\nStack trace:\n#0 /var/www/html/laravel/admin/app/Exceptions/Handler.php(51): Illuminate\\Foundation\\Bootstrap\\HandleExceptions->handleError(8, 'Undefined varia...', '/var/www/html/l...', 51, Array)\n#1 /var/www/html/laravel/admin/vendor/laravel/framework/src/Illuminate/Foundation/Bootstrap/HandleExceptions.php(108): App\\Exceptions\\Handler->render(Object(Illuminate\\Http\\Request), Object(Symfony\\Component\\Debug\\Exception\\FatalErrorException))\n#2 /var/www/html/laravel/admin/vendor/laravel/framework/src/Illuminate/Foundation/Bootstrap/HandleExceptions.php(85): Illuminate\\Foundation\\Bootstrap\\HandleExceptions->renderHttpResponse(Object(Symfony\\Component\\Debug\\Exception\\FatalErrorException))\n#3 /var/www/html/laravel/admin/vendor/laravel/framework/src/Illuminate/Foundation/Bootstrap/HandleExceptions.php(119): Illuminate\\Foundation\\Bootstrap\\HandleExceptions->handleException(Object(Symfony\\Component\\Debug\\Excep in /var/www/html/laravel/admin/app/Exceptions/Handler.php on line 51
[Mon Aug 21 09:47:34.804286 2017] [:error] [pid 4320] [client 127.0.0.1:51760] PHP Fatal error:  Uncaught ErrorException: Undefined variable: user in /var/www/html/laravel/admin/app/Exceptions/Handler.php:51\nStack trace:\n#0 /var/www/html/laravel/admin/app/Exceptions/Handler.php(51): Illuminate\\Foundation\\Bootstrap\\HandleExceptions->handleError(8, 'Undefined varia...', '/var/www/html/l...', 51, Array)\n#1 /var/www/html/laravel/admin/vendor/laravel/framework/src/Illuminate/Foundation/Bootstrap/HandleExceptions.php(108): App\\Exceptions\\Handler->render(Object(Illuminate\\Http\\Request), Object(ErrorException))\n#2 /var/www/html/laravel/admin/vendor/laravel/framework/src/Illuminate/Foundation/Bootstrap/HandleExceptions.php(85): Illuminate\\Foundation\\Bootstrap\\HandleExceptions->renderHttpResponse(Object(ErrorException))\n#3 [internal function]: Illuminate\\Foundation\\Bootstrap\\HandleExceptions->handleException(Object(ErrorException))\n#4 {main}\n  thrown in /var/www/html/laravel/admin/app/Exceptions/Handler.php on line 51
[Mon Aug 21 09:47:35.007779 2017] [:error] [pid 4320] [client 127.0.0.1:51760] PHP Fatal error:  Uncaught ErrorException: Undefined variable: user in /var/www/html/laravel/admin/app/Exceptions/Handler.php:51\nStack trace:\n#0 /var/www/html/laravel/admin/app/Exceptions/Handler.php(51): Illuminate\\Foundation\\Bootstrap\\HandleExceptions->handleError(8, 'Undefined varia...', '/var/www/html/l...', 51, Array)\n#1 /var/www/html/laravel/admin/vendor/laravel/framework/src/Illuminate/Foundation/Bootstrap/HandleExceptions.php(108): App\\Exceptions\\Handler->render(Object(Illuminate\\Http\\Request), Object(Symfony\\Component\\Debug\\Exception\\FatalErrorException))\n#2 /var/www/html/laravel/admin/vendor/laravel/framework/src/Illuminate/Foundation/Bootstrap/HandleExceptions.php(85): Illuminate\\Foundation\\Bootstrap\\HandleExceptions->renderHttpResponse(Object(Symfony\\Component\\Debug\\Exception\\FatalErrorException))\n#3 /var/www/html/laravel/admin/vendor/laravel/framework/src/Illuminate/Foundation/Bootstrap/HandleExceptions.php(119): Illuminate\\Foundation\\Bootstrap\\HandleExceptions->handleException(Object(Symfony\\Component\\Debug\\Excep in /var/www/html/laravel/admin/app/Exceptions/Handler.php on line 51
[Mon Aug 21 09:48:21.809192 2017] [:error] [pid 3251] [client 127.0.0.1:51766] PHP Fatal error:  Uncaught ErrorException: Undefined variable: user in /var/www/html/laravel/admin/app/Exceptions/Handler.php:51\nStack trace:\n#0 /var/www/html/laravel/admin/app/Exceptions/Handler.php(51): Illuminate\\Foundation\\Bootstrap\\HandleExceptions->handleError(8, 'Undefined varia...', '/var/www/html/l...', 51, Array)\n#1 /var/www/html/laravel/admin/vendor/laravel/framework/src/Illuminate/Foundation/Bootstrap/HandleExceptions.php(108): App\\Exceptions\\Handler->render(Object(Illuminate\\Http\\Request), Object(ErrorException))\n#2 /var/www/html/laravel/admin/vendor/laravel/framework/src/Illuminate/Foundation/Bootstrap/HandleExceptions.php(85): Illuminate\\Foundation\\Bootstrap\\HandleExceptions->renderHttpResponse(Object(ErrorException))\n#3 [internal function]: Illuminate\\Foundation\\Bootstrap\\HandleExceptions->handleException(Object(ErrorException))\n#4 {main}\n  thrown in /var/www/html/laravel/admin/app/Exceptions/Handler.php on line 51
[Mon Aug 21 09:48:22.004933 2017] [:error] [pid 3251] [client 127.0.0.1:51766] PHP Fatal error:  Uncaught ErrorException: Undefined variable: user in /var/www/html/laravel/admin/app/Exceptions/Handler.php:51\nStack trace:\n#0 /var/www/html/laravel/admin/app/Exceptions/Handler.php(51): Illuminate\\Foundation\\Bootstrap\\HandleExceptions->handleError(8, 'Undefined varia...', '/var/www/html/l...', 51, Array)\n#1 /var/www/html/laravel/admin/vendor/laravel/framework/src/Illuminate/Foundation/Bootstrap/HandleExceptions.php(108): App\\Exceptions\\Handler->render(Object(Illuminate\\Http\\Request), Object(Symfony\\Component\\Debug\\Exception\\FatalErrorException))\n#2 /var/www/html/laravel/admin/vendor/laravel/framework/src/Illuminate/Foundation/Bootstrap/HandleExceptions.php(85): Illuminate\\Foundation\\Bootstrap\\HandleExceptions->renderHttpResponse(Object(Symfony\\Component\\Debug\\Exception\\FatalErrorException))\n#3 /var/www/html/laravel/admin/vendor/laravel/framework/src/Illuminate/Foundation/Bootstrap/HandleExceptions.php(119): Illuminate\\Foundation\\Bootstrap\\HandleExceptions->handleException(Object(Symfony\\Component\\Debug\\Excep in /var/www/html/laravel/admin/app/Exceptions/Handler.php on line 51
[Mon Aug 21 09:48:43.014235 2017] [:error] [pid 3250] [client 127.0.0.1:51776] PHP Fatal error:  Uncaught ErrorException: Undefined variable: user in /var/www/html/laravel/admin/app/Exceptions/Handler.php:51\nStack trace:\n#0 /var/www/html/laravel/admin/app/Exceptions/Handler.php(51): Illuminate\\Foundation\\Bootstrap\\HandleExceptions->handleError(8, 'Undefined varia...', '/var/www/html/l...', 51, Array)\n#1 /var/www/html/laravel/admin/vendor/laravel/framework/src/Illuminate/Foundation/Bootstrap/HandleExceptions.php(108): App\\Exceptions\\Handler->render(Object(Illuminate\\Http\\Request), Object(ErrorException))\n#2 /var/www/html/laravel/admin/vendor/laravel/framework/src/Illuminate/Foundation/Bootstrap/HandleExceptions.php(85): Illuminate\\Foundation\\Bootstrap\\HandleExceptions->renderHttpResponse(Object(ErrorException))\n#3 [internal function]: Illuminate\\Foundation\\Bootstrap\\HandleExceptions->handleException(Object(ErrorException))\n#4 {main}\n  thrown in /var/www/html/laravel/admin/app/Exceptions/Handler.php on line 51
[Mon Aug 21 09:48:43.217814 2017] [:error] [pid 3250] [client 127.0.0.1:51776] PHP Fatal error:  Uncaught ErrorException: Undefined variable: user in /var/www/html/laravel/admin/app/Exceptions/Handler.php:51\nStack trace:\n#0 /var/www/html/laravel/admin/app/Exceptions/Handler.php(51): Illuminate\\Foundation\\Bootstrap\\HandleExceptions->handleError(8, 'Undefined varia...', '/var/www/html/l...', 51, Array)\n#1 /var/www/html/laravel/admin/vendor/laravel/framework/src/Illuminate/Foundation/Bootstrap/HandleExceptions.php(108): App\\Exceptions\\Handler->render(Object(Illuminate\\Http\\Request), Object(Symfony\\Component\\Debug\\Exception\\FatalErrorException))\n#2 /var/www/html/laravel/admin/vendor/laravel/framework/src/Illuminate/Foundation/Bootstrap/HandleExceptions.php(85): Illuminate\\Foundation\\Bootstrap\\HandleExceptions->renderHttpResponse(Object(Symfony\\Component\\Debug\\Exception\\FatalErrorException))\n#3 /var/www/html/laravel/admin/vendor/laravel/framework/src/Illuminate/Foundation/Bootstrap/HandleExceptions.php(119): Illuminate\\Foundation\\Bootstrap\\HandleExceptions->handleException(Object(Symfony\\Component\\Debug\\Excep in /var/www/html/laravel/admin/app/Exceptions/Handler.php on line 51
[Mon Aug 21 09:51:30.123726 2017] [:error] [pid 4958] [client 127.0.0.1:51808] PHP Fatal error:  Uncaught ErrorException: Undefined variable: user in /var/www/html/laravel/admin/app/Exceptions/Handler.php:51\nStack trace:\n#0 /var/www/html/laravel/admin/app/Exceptions/Handler.php(51): Illuminate\\Foundation\\Bootstrap\\HandleExceptions->handleError(8, 'Undefined varia...', '/var/www/html/l...', 51, Array)\n#1 /var/www/html/laravel/admin/vendor/laravel/framework/src/Illuminate/Foundation/Bootstrap/HandleExceptions.php(108): App\\Exceptions\\Handler->render(Object(Illuminate\\Http\\Request), Object(ErrorException))\n#2 /var/www/html/laravel/admin/vendor/laravel/framework/src/Illuminate/Foundation/Bootstrap/HandleExceptions.php(85): Illuminate\\Foundation\\Bootstrap\\HandleExceptions->renderHttpResponse(Object(ErrorException))\n#3 [internal function]: Illuminate\\Foundation\\Bootstrap\\HandleExceptions->handleException(Object(ErrorException))\n#4 {main}\n  thrown in /var/www/html/laravel/admin/app/Exceptions/Handler.php on line 51
[Mon Aug 21 09:51:30.298696 2017] [:error] [pid 4958] [client 127.0.0.1:51808] PHP Fatal error:  Uncaught ErrorException: Undefined variable: user in /var/www/html/laravel/admin/app/Exceptions/Handler.php:51\nStack trace:\n#0 /var/www/html/laravel/admin/app/Exceptions/Handler.php(51): Illuminate\\Foundation\\Bootstrap\\HandleExceptions->handleError(8, 'Undefined varia...', '/var/www/html/l...', 51, Array)\n#1 /var/www/html/laravel/admin/vendor/laravel/framework/src/Illuminate/Foundation/Bootstrap/HandleExceptions.php(108): App\\Exceptions\\Handler->render(Object(Illuminate\\Http\\Request), Object(Symfony\\Component\\Debug\\Exception\\FatalErrorException))\n#2 /var/www/html/laravel/admin/vendor/laravel/framework/src/Illuminate/Foundation/Bootstrap/HandleExceptions.php(85): Illuminate\\Foundation\\Bootstrap\\HandleExceptions->renderHttpResponse(Object(Symfony\\Component\\Debug\\Exception\\FatalErrorException))\n#3 /var/www/html/laravel/admin/vendor/laravel/framework/src/Illuminate/Foundation/Bootstrap/HandleExceptions.php(119): Illuminate\\Foundation\\Bootstrap\\HandleExceptions->handleException(Object(Symfony\\Component\\Debug\\Excep in /var/www/html/laravel/admin/app/Exceptions/Handler.php on line 51
[Wed Aug 23 09:57:59.283187 2017] [:error] [pid 3347] [client 127.0.0.1:50184] PHP Notice:  Use of undefined constant env - assumed 'env' in /var/www/html/laravel/admin/config/database.php on line 59
